location,date,time,text
0,31/08/2016,14:01:08,Good
0,31/08/2016,15:12:45,"Nice,  Sunny and relaxing"
0,31/08/2016,17:28:29,Refreshing
0,31/08/2016,17:49:04, 
0,01/09/2016,06:07:04,Godt
0,01/09/2016,09:34:20,"Great, windy, Skin feels tense"
0,01/09/2016,09:34:48, 
0,01/09/2016,13:43:36,Warm And windy
0,01/09/2016,16:13:52,Good
0,01/09/2016,17:49:45,Cold windy
0,02/09/2016,10:02:54, 
0,02/09/2016,14:29:19,windy
0,02/09/2016,14:29:40,windy
0,02/09/2016,15:14:04,Very windy!
0,02/09/2016,17:05:55,Windy
0,02/09/2016,17:06:04,Windy
0,03/09/2016,10:25:57,Windy
0,03/09/2016,12:08:03,I' curious
0,03/09/2016,12:09:19,Windy but nice
0,03/09/2016,13:06:11,Lovely sunshine in a light breeze
0,03/09/2016,13:06:15,Nice - sun and Wind 
0,03/09/2016,13:57:06,windy
0,03/09/2016,13:57:50,windy
0,03/09/2016,14:20:13,Nice
0,03/09/2016,14:49:45,ok
0,04/09/2016,10:56:34, 
0,04/09/2016,11:58:12,Nice and warm - no wind 😊
0,04/09/2016,12:01:41, 
0,04/09/2016,12:17:42, 
0,04/09/2016,12:31:21,Quiet
0,04/09/2016,13:02:12,Windy
0,04/09/2016,14:11:49,A litle windy and NOT cold
0,04/09/2016,14:36:17, 
0,04/09/2016,15:00:15,Great
0,05/09/2016,13:30:27,Warm and sunny
0,06/09/2016,12:04:53,Cold and windy.
0,06/09/2016,13:01:06,Nice
0,06/09/2016,13:01:39,Windy 
0,06/09/2016,15:33:21,WindYv
0,06/09/2016,15:33:29,Windy and cloudy
0,06/09/2016,15:33:43,Windy and cloudy
0,06/09/2016,17:31:28, 
0,06/09/2016,17:47:25,Windy
0,06/09/2016,18:25:13,Cold
0,06/09/2016,18:25:13,Cold
0,07/09/2016,08:00:13,Nice
0,07/09/2016,11:17:23,Fugtit
0,07/09/2016,12:13:05,Good
0,07/09/2016,13:51:57,Soft light and wind and very calm
0,07/09/2016,13:53:07,Nice
0,07/09/2016,15:49:55,"Warm, a little bit windy 20°C"
